date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,accident
2012-10-02 09:00:00,None,121,89,2,329,1,1,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,56
2012-10-02 10:00:00,None,178,67,3,330,1,1,289.36,0.0,0.0,75,Clouds,broken clouds,4516,51
2012-10-02 11:00:00,None,113,66,3,329,2,2,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,43
2012-10-02 12:00:00,None,20,66,3,329,5,5,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,57
2012-10-02 13:00:00,None,281,65,3,329,7,7,291.14,0.0,0.0,75,Clouds,broken clouds,4918,41
2012-10-02 14:00:00,None,23,65,3,328,6,6,291.72,0.0,0.0,1,Clear,sky is clear,5181,58
2012-10-02 15:00:00,None,184,64,3,328,7,7,293.17,0.0,0.0,1,Clear,sky is clear,5584,50
2012-10-02 16:00:00,None,167,64,3,327,7,7,293.86,0.0,0.0,1,Clear,sky is clear,6015,63
2012-10-02 17:00:00,None,119,63,3,327,6,6,294.14,0.0,0.0,20,Clouds,few clouds,5791,48
2012-10-02 18:00:00,None,161,63,3,326,3,3,293.1,0.0,0.0,20,Clouds,few clouds,4770,53
2012-10-02 19:00:00,None,243,62,3,326,8,8,290.97,0.0,0.0,20,Clouds,few clouds,3539,29
2012-10-02 20:00:00,None,150,62,3,326,5,5,289.38,0.0,0.0,1,Clear,sky is clear,2784,31
2012-10-02 21:00:00,None,128,61,4,325,4,4,288.61,0.0,0.0,1,Clear,sky is clear,2361,23
2012-10-02 22:00:00,None,18,61,4,325,7,7,287.16,0.0,0.0,1,Clear,sky is clear,1529,14
2012-10-02 23:00:00,None,186,60,4,324,5,5,285.45,0.0,0.0,1,Clear,sky is clear,963,9
2012-10-03 00:00:00,None,58,60,4,324,2,2,284.63,0.0,0.0,1,Clear,sky is clear,506,5
2012-10-03 01:00:00,None,158,59,4,324,6,6,283.47,0.0,0.0,1,Clear,sky is clear,321,2
2012-10-03 02:00:00,None,166,59,4,323,1,1,281.18,0.0,0.0,1,Clear,sky is clear,273,3
2012-10-03 03:00:00,None,101,58,4,323,7,7,281.09,0.0,0.0,1,Clear,sky is clear,367,4
2012-10-03 04:00:00,None,161,58,4,322,4,4,279.53,0.0,0.0,1,Clear,sky is clear,814,8
2012-10-03 05:00:00,None,179,57,4,322,3,3,278.62,0.0,0.0,1,Clear,sky is clear,2718,27
2012-10-03 06:00:00,None,93,57,4,322,4,4,278.23,0.0,0.0,1,Clear,sky is clear,5673,48
2012-10-03 08:00:00,None,57,56,4,321,4,4,278.12,0.0,0.0,1,Clear,sky is clear,6511,65
2012-10-03 09:00:00,None,226,56,4,321,4,4,282.48,0.0,0.0,1,Clear,sky is clear,5471,62
2012-10-03 12:00:00,None,86,55,4,320,3,3,291.97,0.0,0.0,1,Clear,sky is clear,5097,55
2012-10-03 13:00:00,None,52,55,4,320,1,1,293.23,0.0,0.0,1,Clear,sky is clear,4887,40
2012-10-03 14:00:00,None,273,55,4,320,4,4,294.31,0.0,0.0,1,Clear,sky is clear,5337,45
2012-10-03 15:00:00,None,72,55,5,350,3,3,295.17,0.0,0.0,1,Clear,sky is clear,5692,56
2012-10-03 16:00:00,None,254,55,4,320,1,1,295.13,0.0,0.0,1,Clear,sky is clear,6137,66
2012-10-03 18:00:00,None,129,55,5,330,4,4,293.66,0.0,0.0,20,Clouds,few clouds,4623,40
2012-10-03 19:00:00,None,271,48,7,330,1,1,290.65,0.0,0.0,20,Clouds,few clouds,3591,29
2012-10-03 20:00:00,None,259,42,6,320,1,1,288.19,0.0,0.0,20,Clouds,few clouds,2898,29
2012-10-03 21:00:00,None,61,33,5,340,8,8,287.1,0.0,0.0,1,Clear,sky is clear,2637,22
2012-10-03 22:00:00,None,286,30,5,340,4,4,286.25,0.0,0.0,1,Clear,sky is clear,1777,20
2012-10-03 23:00:00,None,151,33,3,340,9,9,285.26,0.0,0.0,1,Clear,sky is clear,1015,9
2012-10-04 00:00:00,None,260,32,5,350,8,8,284.55,0.0,0.0,1,Clear,sky is clear,598,4
2012-10-04 01:00:00,None,234,37,5,350,5,5,283.47,0.0,0.0,1,Clear,sky is clear,369,3
2012-10-04 02:00:00,None,162,36,4,330,5,5,283.17,0.0,0.0,1,Clear,sky is clear,312,2
2012-10-04 03:00:00,None,65,39,6,340,1,1,282.04,0.0,0.0,1,Clear,sky is clear,367,3
2012-10-04 04:00:00,None,18,41,5,340,1,1,281.69,0.0,0.0,1,Clear,sky is clear,835,8
2012-10-04 05:00:00,None,250,44,5,350,4,4,281.32,0.0,0.0,1,Clear,sky is clear,2726,21
2012-10-04 06:00:00,None,173,44,4,340,4,4,280.74,0.0,0.0,1,Clear,sky is clear,5689,67
2012-10-04 07:00:00,None,142,47,4,350,2,2,280.57,0.0,0.0,1,Clear,sky is clear,6990,60
2012-10-04 08:00:00,None,90,50,4,360,5,5,281.86,0.0,0.0,1,Clear,sky is clear,5985,54
2012-10-04 09:00:00,None,144,75,0,0,6,6,284.98,0.0,0.0,1,Clear,sky is clear,5309,49
2012-10-04 10:00:00,None,143,57,0,0,8,8,289.18,0.0,0.0,1,Clear,sky is clear,4603,37
2012-10-04 11:00:00,None,61,70,1,320,1,1,291.55,0.0,0.0,1,Clear,sky is clear,4884,44
2012-10-04 12:00:00,None,211,93,0,0,4,4,294.97,0.0,0.0,1,Clear,sky is clear,5104,47
2012-10-04 13:00:00,None,207,84,0,0,6,6,296.38,0.0,0.0,1,Clear,sky is clear,5178,50
2012-10-04 14:00:00,None,115,75,0,0,7,7,297.32,0.0,0.0,1,Clear,sky is clear,5501,56
2012-10-04 15:00:00,None,253,57,0,0,2,2,298.17,0.0,0.0,1,Clear,sky is clear,5713,56
2012-10-04 16:00:00,None,242,53,1,63,5,5,298.06,0.0,0.0,20,Clouds,few clouds,6292,59
2012-10-04 17:00:00,None,23,49,2,126,5,5,297.67,0.0,0.0,20,Clouds,few clouds,6057,53
2012-10-04 18:00:00,None,234,45,3,190,5,5,296.36,0.0,0.0,40,Clouds,scattered clouds,4907,55
2012-10-04 19:00:00,None,220,37,3,170,6,6,293.85,0.0,0.0,40,Clouds,scattered clouds,3503,37
2012-10-04 20:00:00,None,210,28,3,190,5,5,292.43,0.0,0.0,40,Clouds,scattered clouds,3037,31
2012-10-04 21:00:00,None,174,30,2,0,7,7,291.77,0.0,0.0,75,Clouds,broken clouds,2822,23
2012-10-04 22:00:00,None,58,26,4,140,4,4,291.36,0.0,0.0,75,Clouds,broken clouds,1992,18
2012-10-04 23:00:00,None,142,26,3,170,1,1,291.12,0.0,0.0,75,Clouds,broken clouds,1166,10
2012-10-05 00:00:00,None,79,26,3,200,6,6,290.63,0.0,0.0,75,Clouds,broken clouds,627,5
2012-10-05 01:00:00,None,128,30,3,180,9,9,290.46,0.0,0.0,40,Clouds,scattered clouds,388,3
2012-10-05 03:00:00,None,148,34,2,150,4,4,289.26,0.0,0.0,0,Clear,sky is clear,368,3
2012-10-05 05:00:00,None,252,41,2,140,7,7,283.21,0.0,0.0,75,Clouds,broken clouds,2489,24
2012-10-05 06:00:00,None,190,47,3,140,3,3,282.24,0.0,0.0,90,Clouds,overcast clouds,5537,57
2012-10-05 07:00:00,None,192,47,2,160,9,9,281.69,0.0,0.0,90,Clouds,overcast clouds,6628,70
2012-10-05 08:00:00,None,59,47,2,160,9,9,280.57,0.0,0.0,90,Clouds,overcast clouds,5534,59
2012-10-05 09:00:00,None,190,54,2,130,6,6,280.02,0.0,0.0,75,Clouds,broken clouds,5403,57
2012-10-05 10:00:00,None,134,71,0,0,5,5,280.11,0.0,0.0,75,Clouds,broken clouds,4770,56
2012-10-05 11:00:00,None,240,58,2,110,8,8,280.0,0.0,0.0,90,Clouds,overcast clouds,5217,54
2012-10-05 12:00:00,None,12,76,2,150,9,9,280.53,0.0,0.0,90,Clouds,overcast clouds,5870,56
2012-10-05 13:00:00,None,182,71,3,110,5,5,281.43,0.0,0.0,75,Clouds,broken clouds,5967,50
2012-10-05 14:00:00,None,90,71,1,110,5,5,281.78,0.0,0.0,90,Clouds,overcast clouds,6108,54
2012-10-05 15:00:00,None,284,76,2,110,3,3,281.91,0.0,0.0,90,Clouds,overcast clouds,6128,63
2012-10-05 16:00:00,None,228,76,2,120,2,2,281.73,0.0,0.0,90,Clouds,overcast clouds,6069,68
2012-10-05 17:00:00,None,149,71,1,110,9,9,281.42,0.0,0.0,90,Clouds,overcast clouds,6169,64
2012-10-05 18:00:00,None,72,54,0,0,8,8,280.87,0.0,0.0,90,Clouds,overcast clouds,5384,60
2012-10-05 19:00:00,None,36,45,2,160,2,2,280.15,0.0,0.0,90,Clouds,overcast clouds,4063,34
2012-10-05 20:00:00,None,205,35,2,0,6,6,279.78,0.0,0.0,90,Clouds,overcast clouds,3364,33
2012-10-05 21:00:00,None,161,27,4,160,9,9,279.65,0.0,0.0,75,Clouds,broken clouds,2971,26
2012-10-05 22:00:00,None,261,25,4,180,4,4,279.22,0.0,0.0,40,Clouds,scattered clouds,2450,26
2012-10-05 23:00:00,None,257,25,4,160,4,4,279.06,0.0,0.0,40,Clouds,scattered clouds,1832,18
2012-10-06 00:00:00,None,163,23,5,150,6,6,278.81,0.0,0.0,90,Clouds,overcast clouds,1231,14
2012-10-06 01:00:00,None,219,23,5,160,4,4,278.55,0.0,0.0,90,Clouds,overcast clouds,718,7
2012-10-06 02:00:00,None,31,25,4,150,7,7,278.59,0.0,0.0,90,Clouds,overcast clouds,545,5
2012-10-06 04:00:00,None,79,32,2,140,9,9,276.99,0.0,0.0,75,Clouds,broken clouds,411,4
2012-10-06 05:00:00,None,28,30,3,130,7,7,276.35,0.0,0.0,20,Clouds,few clouds,688,7
2012-10-06 06:00:00,None,110,37,3,130,1,1,275.4,0.0,0.0,1,Clear,sky is clear,1352,12
2012-10-06 07:00:00,None,171,42,3,140,9,9,275.17,0.0,0.0,1,Clear,sky is clear,2072,21
2012-10-06 08:00:00,None,148,45,5,140,3,3,274.99,0.0,0.0,1,Clear,sky is clear,3342,28
2012-10-06 09:00:00,None,97,45,5,140,2,2,275.09,0.0,0.0,40,Clouds,scattered clouds,4258,43
2012-10-06 10:00:00,None,46,48,5,140,2,2,276.88,0.0,0.0,20,Clouds,few clouds,4861,39
2012-10-06 11:00:00,None,180,24,2,194,7,7,278.04,0.0,0.0,20,Clouds,few clouds,5191,47
